ts,close,fast,slow,highN,lowN,highN_prev,lowN_prev,signal,pos,ret,equity
2025-06-06 01:00:00+00:00,2420.39,-71.61812497504297,-49.94328885171577,2699.1291202155394,2377.7728797844607,2699.1291202155394,2377.7728797844607,SELL,0.0,-0.0,1.2433567882678964
2025-06-06 02:00:00+00:00,2433.99,-70.92419294874935,-54.13946967112249,2693.8736458401295,2366.06935415987,2693.8736458401295,2366.06935415987,SELL,0.0,0.0,1.2433567882678964
2025-06-06 03:00:00+00:00,2454.13,-67.19864153919616,-56.751304044737225,2685.954005257898,2359.064994742102,2685.954005257898,2359.064994742102,SELL,0.0,0.0,1.2433567882678964
2025-06-06 04:00:00+00:00,2457.49,-63.1647310287849,-58.033989441546765,2676.3737126556193,2353.927287344381,2676.3737126556193,2353.927287344381,HOLD,0.0,0.0,1.2433567882678964
2025-06-06 05:00:00+00:00,2458.66,-59.19901382253147,-58.26699431774371,2664.6198610340753,2350.649138965925,2664.6198610340753,2350.649138965925,HOLD,0.0,0.0,1.2433567882678964
2025-06-06 06:00:00+00:00,2456.68,-55.701511634489634,-57.7538977810929,2653.691025458282,2347.6609745417177,2653.691025458282,2347.6609745417177,HOLD,0.0,-0.0,1.2433567882678964
2025-06-06 07:00:00+00:00,2454.12,-52.67144090834063,-56.73740640654245,2639.1957428087485,2346.887257191251,2639.1957428087485,2346.887257191251,HOLD,0.0,-0.0,1.2433567882678964
2025-06-06 08:00:00+00:00,2459.98,-49.04700037121938,-55.19932519947783,2616.7864492670756,2352.224550732925,2616.7864492670756,2352.224550732925,HOLD,0.0,0.0,1.2433567882678964
2025-06-06 09:00:00+00:00,2467.36,-44.831847932294295,-53.12582974604113,2601.8897201292834,2354.9902798707167,2601.8897201292834,2354.9902798707167,HOLD,0.0,0.0,1.2433567882678964
2025-06-06 10:00:00+00:00,2480.22,-39.57119638306085,-50.414903073445075,2586.213221699307,2360.0327783006933,2586.213221699307,2360.0327783006933,HOLD,0.0,0.0,1.2433567882678964
2025-06-06 11:00:00+00:00,2474.93,-35.70106488780493,-47.472135436317046,2567.493452497493,2367.4145475025066,2567.493452497493,2367.4145475025066,HOLD,0.0,-0.0,1.2433567882678964
2025-06-06 12:00:00+00:00,2474.39,-32.383444419145235,-44.454397232882684,2554.382427805298,2372.1495721947012,2554.382427805298,2372.1495721947012,HOLD,0.0,-0.0,1.2433567882678964
2025-06-06 13:00:00+00:00,2502.0,-26.22557720507848,-40.80863322732185,2539.439713339574,2380.3972866604254,2539.439713339574,2380.3972866604254,HOLD,0.0,0.0,1.2433567882678964
2025-06-06 14:00:00+00:00,2517.57,-19.37834655495635,-36.52257589284875,2522.741456025607,2391.369543974392,2522.741456025607,2391.369543974392,HOLD,0.0,0.0,1.2433567882678964
2025-06-06 15:00:00+00:00,2508.33,-14.994063311842638,-32.21687337664753,2517.9671921745507,2394.179807825449,2517.9671921745507,2394.179807825449,HOLD,0.0,-0.0,1.2433567882678964
2025-06-06 16:00:00+00:00,2496.38,-12.8642270077371,-28.346344102865444,2519.1033128100767,2402.9206871899237,2519.1033128100767,2402.9206871899237,HOLD,0.0,-0.0,1.2433567882678964
